id,nama,propinsi,kab,jenis,kelas,status_blu,kepemilikan,total_tempat_tidur,total_layanan,total_tenaga_kerja
1110053,RS Arun Lhokseumawe,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,218,36,328
1106014,RS Umum Fandika,Aceh,Aceh Tengah,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,45,15,45
1171110,RS Umum Daerah Meuraxa,Aceh,Kota Banda Aceh,Rumah Sakit Umum,B,BLUD,Pemkot,310,77,487
1171163,RS Gigi Mulut Universitas Syiah Kuala,Aceh,Kota Banda Aceh,Rumah Sakit Khusus Gigi dan Mulut,B,BLU,Kementerian Lain,11,24,
1102027,RS Umum Daerah Kota Subulussalam,Aceh,Kota Subulussalam,Rumah Sakit Umum,C,BLUD,Pemkot,189,34,537
1106013,RS Umum Daerah Datu Beru Takengon,Aceh,Aceh Tengah,Rumah Sakit Umum,B,BLUD,Pemkab,376,80,470
1109028,RS Umum Mufid,Aceh,Pidie,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,102,64,208
1174022,RS Umum Metro Medical Center,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,88,38,128
1117025,RS Umum Daerah Muyang Kute Redelong Bener Meriah,Aceh,Bener Meriah,Rumah Sakit Umum,C,BLUD,Pemkab,176,35,199
1106025,RS Gayo Medical Centre,Aceh,Aceh Tengah,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,60,56,
1104013,RS Ibu dan Anak Keluarga Desa,Aceh,Aceh Tenggara,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,SWASTA/LAINNYA,80,28,3
1105078,RS Umum Graha Bunda ,Aceh,Aceh Timur,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,163,26,315
1110075,RS Umum Daerah Dr. Fauziah Bireun,Aceh,Bireuen,Rumah Sakit Umum,B,BLUD,Pemkab,251,84,1178
1171143,RS Bhayangkara Banda Aceh,Aceh,Kota Banda Aceh,Rumah Sakit Umum,C,BLU,POLRI,182,23,147
1103010,RS Umum Daerah Dr. H. Yulidin Away,Aceh,Aceh Selatan,Rumah Sakit Umum,B,BLUD,Pemkab,359,68,515
1108015,RS Umum Daerah Kabupaten Aceh Besar,Aceh,Aceh Besar,Rumah Sakit Umum,C,Non BLU/BLUD,Pemkab,101,23,262
1171026,RS Tk. II Iskandar Muda Banda Aceh,Aceh,Kota Banda Aceh,Rumah Sakit Umum,B,BLU,TNI AD,273,82,442
1174023,RS Ibu dan Anak ABBY,Aceh,Kota Lhokseumawe,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,SWASTA/LAINNYA,66,30,91
1101015,RS Umum Daerah Simeulue,Aceh,Simeulue,Rumah Sakit Umum,C,BLUD,Pemkab,120,33,533
