Tahun,Kabupaten,Desa,Anggaran,Penyaluran
2021,Bogor,Cisarua,3233745000,3233745000
2020,Bogor,Cisarua,2960868000,2960863248
2020,Bekasi,Babelan Kota,2820159000,2820159000
2021,Bandung,Sugihmukti,2670540000,2670540000
2021,Bekasi,Pantai Harapanjaya,2646744000,2645570398
2020,Bekasi,Bantarjaya,2644986000,2644986000
2019,Bogor,Cisarua,2630007146,2630006752
2021,Indramayu,Mekarjaya,2622312000,2622312000
2020,Bandung Barat,Citatah,2593730000,2593730000
2020,Bekasi,Pantai Harapanjaya,2584843000,2584843000
2019,Bekasi,Babelan Kota,2580000000,2580000000
2021,Bekasi,Babelan Kota,2570059000,2570059000
2021,Bogor,Sukamaju,2536500000,2536500000
2020,Indramayu,Mekarjaya,2493213000,2493213000
2021,Bandung,Tenjolaya,2482110000,2482110000
2021,Bogor,Malasari,2479395000,2479395000
2021,Bogor,Bantar Karet,2442030000,2442030000
2021,Indramayu,Ujungaris,2440075000,2440075000
2021,Bekasi,Bantarjaya,2435625000,2435625000
2020,Bandung,Sugihmukti,2416961000,2416961000
2019,Bekasi,Bantarjaya,2400000000,2400000000
2021,Bandung Barat,Gununghalu,2391155000,2391155000
2020,Bekasi,Pantaibahagia,2343174000,2343174000
2021,Bogor,Banyuwangi,2339658000,2339658000
2021,Bekasi,Pantaibahagia,2336974000,2336974000
2019,Bandung Barat,Citatah,2330537000,2330537000
2020,Bogor,Malasari,2328892000,2328892000
2021,Indramayu,Gantar,2327712000,2327712000
2021,Cianjur,Batulawang,2321042000,2321042000
2020,Bogor,Sukawangi,2316233000,1852986400
2020,Bekasi,Karangsatu,2315915000,2315915000
2021,Bandung Barat,Citatah,2299550000,2299550000
2021,Karawang,Muarabaru,2291410000,2291410000
2020,Bogor,Argapura,2282450000,2282450000
2019,Bekasi,Pantai Harapanjaya,2270000000,2270000000
2019,Bogor,Pabuaran,2264721053,2264721053
2019,Indramayu,Sanca,2256289000,2256289000
2021,Indramayu,Jatimunggul,2249923000,2249923000
2019,Bogor,Argapura,2247421004,2247421004
2019,Bandung,Sugihmukti,2243922000,2243922000
2021,Bogor,Argapura,2241318000,2241318000
2020,Bogor,Leuwibatu,2230523000,2230523000
2020,Bogor,Pabuaran,2230183000,2230183000
2019,Bogor,Banyuwangi,2221663645,2221663645
2020,Bandung Barat,Gunungmasigit,2221323000,2221323000
2020,Bogor,Bantar Karet,2212749000,2212749000
2020,Bogor,Banyuwangi,2211005000,2211005000
2021,Bekasi,Pantaibakti,2203294000,2203294000
2021,Cianjur,Wanasari,2201945000,2201945000
2021,Indramayu,Situraja,2201467000,2201467000
2021,Bogor,Cileuksa,2201071000,2201071000
2020,Bogor,Cileuksa,2197332000,2197331999
2020,Bekasi,Karangjaya,2196450000,2196450000
2019,Bandung Barat,Gununghalu,2191489000,2191489000
2021,Indramayu,Sanca,2180646000,2180646000
2020,Bekasi,Karangmukti,2177017000,2177017000
2020,Bandung Barat,Situwangi,2174416000,2174416000
2020,Bogor,Sukamaju,2171493000,2171493000
2019,Indramayu,Mekarjaya,2165017000,2165017000
2021,Indramayu,Kertanegara,2161664000,2161664000
2019,Bogor,Sukawangi,2159772293,2159772293
2020,Indramayu,Sanca,2151389000,2151389000
2021,Bandung Barat,Karanganyar,2150445000,2150445000
2019,Bogor,Sukamaju,2149314088,2149314088
2021,Bandung Barat,Gunungmasigit,2148878000,2148878000
2020,Bekasi,Pantaibakti,2143117000,2143117000
2020,Karawang,Muarabaru,2138040000,2138040000
2021,Bekasi,Karangpatri,2135418000,2135418000
2020,Bogor,Rabak,2125742000,2125742000
2021,Bandung Barat,Sirnajaya,2125702000,2125702000
2019,Bandung Barat,Gunungmasigit,2119949000,2119949000
2021,Banjar,Rejasari,2118386000,2118386000
2021,Bekasi,Sukamulya,2114859000,2114859000
