Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend,z_score
1,Web Development,Fiverr,Beginner,Asia,Mobile Banking,180,1620,95.79,68.73,3.18,1,Fixed,40.19,53,-1.1613510219324115
2,App Development,Fiverr,Beginner,Australia,Mobile Banking,218,9078,86.38,97.54,3.44,54,Fixed,36.53,486,1.3879310882754603
3,Web Development,Fiverr,Beginner,UK,Crypto,27,3455,85.17,86.6,4.2,46,Hourly,74.05,489,-0.5341141390909735
4,Data Entry,PeoplePerHour,Intermediate,Asia,Bank Transfer,17,5577,14.37,79.93,4.47,41,Hourly,27.58,67,0.19122464313765405
5,Digital Marketing,Upwork,Expert,Asia,Crypto,245,5898,99.37,57.8,5.0,41,Hourly,69.09,489,0.30094837032681027
6,Customer Support,Toptal,Beginner,Europe,Crypto,280,6867,43.04,57.8,4.87,8,Fixed,43.88,290,0.6321704626828611
7,Web Development,Fiverr,Beginner,USA,Crypto,96,1677,20.5,52.9,4.29,32,Hourly,45.99,343,-1.1418673694408792
8,Data Entry,Toptal,Beginner,Australia,Bank Transfer,112,6193,82.15,93.31,3.84,30,Fixed,31.59,168,0.4017848174321096
9,Content Writing,Toptal,Intermediate,USA,Crypto,233,8446,26.44,80.06,4.27,46,Fixed,50.11,396,1.1719018185447854
10,Data Entry,PeoplePerHour,Beginner,Middle East,Mobile Banking,156,6608,54.99,85.4,4.57,52,Hourly,32.76,160,0.5436394803090561
11,App Development,Fiverr,Beginner,Australia,Crypto,112,5322,17.16,51.03,3.24,89,Fixed,12.75,14,0.10406093462290382
12,Customer Support,Toptal,Intermediate,Australia,Mobile Banking,293,7931,50.09,98.5,3.82,61,Fixed,29.04,190,0.9958653091914661
13,Customer Support,Fiverr,Intermediate,Europe,Mobile Banking,180,9033,58.02,91.62,4.68,13,Fixed,10.45,14,1.3725492573610927
14,Data Entry,Freelancer,Beginner,Canada,Bank Transfer,290,3797,47.36,60.62,3.77,89,Hourly,78.48,286,-0.41721222414177905
15,App Development,Freelancer,Beginner,UK,Crypto,245,9347,11.6,59.09,4.14,40,Hourly,77.6,362,1.4798802552969028
16,Data Entry,Freelancer,Intermediate,UK,Bank Transfer,149,9332,51.07,59.17,4.18,61,Hourly,37.66,411,1.474752978325447
17,Customer Support,Toptal,Expert,UK,Mobile Banking,18,1657,49.55,65.21,3.37,44,Hourly,60.99,9,-1.1487037387361536
18,Customer Support,Freelancer,Intermediate,Middle East,PayPal,279,5124,29.85,76.24,3.72,62,Hourly,34.21,56,0.03638087859968597
19,Graphic Design,PeoplePerHour,Expert,Asia,Crypto,75,7203,92.55,71.6,3.67,44,Hourly,56.98,198,0.7470214668434733
20,Data Entry,PeoplePerHour,Beginner,Canada,Bank Transfer,199,6783,44.69,64.56,3.05,48,Hourly,66.38,160,0.6034577116427081
21,SEO,Toptal,Beginner,USA,PayPal,15,116,87.09,80.59,3.05,74,Hourly,76.27,262,-1.6754459929370562
22,Data Entry,Fiverr,Expert,UK,Crypto,110,8050,15.42,56.97,4.66,59,Fixed,38.01,388,1.0365417064983495
23,Customer Support,Upwork,Intermediate,USA,Crypto,262,7695,35.29,64.61,3.55,57,Hourly,64.83,473,0.9151961515072267
24,Graphic Design,Fiverr,Beginner,Canada,Bank Transfer,200,9520,21.75,68.32,4.04,11,Fixed,28.61,380,1.5390148497010274
25,Graphic Design,Fiverr,Expert,Middle East,PayPal,149,4208,43.8,72.8,3.6,25,Fixed,79.32,252,-0.27672483512388746
26,Content Writing,Fiverr,Intermediate,Canada,Bank Transfer,224,9055,15.61,89.26,4.88,61,Hourly,11.8,118,1.3800692635858947
27,App Development,Fiverr,Expert,Europe,Crypto,178,452,46.9,59.98,3.52,46,Fixed,52.25,79,-1.560594988776444
28,Digital Marketing,Upwork,Intermediate,Asia,Crypto,220,7975,38.62,75.71,3.86,54,Fixed,56.17,123,1.0109053216410702
29,Web Development,Freelancer,Intermediate,UK,Mobile Banking,97,4216,26.21,79.62,4.75,34,Hourly,58.16,312,-0.27399028740577763
30,Web Development,Fiverr,Intermediate,Middle East,Crypto,264,2975,66.01,52.32,4.68,84,Fixed,18.43,71,-0.6981870021775622
31,Data Entry,PeoplePerHour,Intermediate,Europe,Crypto,67,3043,95.34,80.38,3.37,7,Hourly,75.7,469,-0.6749433465736288
32,Content Writing,Toptal,Expert,UK,PayPal,33,9328,24.68,58.53,4.61,62,Fixed,22.68,481,1.473385704466392
33,Data Entry,Toptal,Expert,Canada,PayPal,279,821,72.62,53.25,3.92,57,Fixed,53.59,167,-1.434463975278629
34,Web Development,PeoplePerHour,Expert,Canada,Mobile Banking,289,7421,75.53,97.44,3.97,76,Hourly,25.59,283,0.8215378921619656
35,App Development,Fiverr,Expert,Australia,Mobile Banking,74,9911,52.32,98.28,3.27,5,Fixed,31.51,493,1.6726658694236445
36,Customer Support,Upwork,Expert,Australia,Mobile Banking,283,5763,90.28,90.42,3.16,76,Fixed,48.25,35,0.2548028775837072
